Row,Analysis,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
33,37067,SS_79,H,6,0.415,N2,2,0,216.3,91.1,12.8,1007,26943,26.943,8.5,673,17995,0.198,0.6679105,0.0074588,13.921,13.921,0.0037294,13.921,,,,,,,,,,,,,,,,,,,,,,,,
33,37067,SS_79,H,6,0.415,CO2,3,0,375.4,111.6,,,,,,,,,,,,,,,0.1,4334,124415,124.415,-0.1,4594,131576,1.447,1.2,6183,0.533,177610,1.0575599,0.0119602,-2.06,-2.06,1.4275659,0.0039916,-6.953,-6.953,0.0111584,-1.949,0.0019913,-6.956
33,37067,SS_79,H,6,0.415,CO2,4,1,525.4,41.4,,,,,,,,,,,,,,,1.5,5339,99129,99.129,1.4,5656,105051,1.156,3.3,7673,0.428,142504,1.0597429,0.0119849,0,0,1.4375617,0.0040196,0,0,0.0111802,0,0.0020052,0
34,37068,SS_80,H,7,0.442,N2,1,1,47.4,27.2,12.4,3810,70217,70.217,8.3,2509,46254,0.509,0.658727,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
34,37068,SS_80,H,7,0.442,N2,2,0,216.3,90.7,12.8,1113,29412,29.412,8.5,744,19659,0.216,0.6684054,0.0074645,14.692,14.692,0.0037322,14.692,,,,,,,,,,,,,,,,,,,,,,,,
34,37068,SS_80,H,7,0.442,CO2,3,0,374.7,111.6,,,,,,,,,,,,,,,0.1,4815,137116,137.116,-0.1,5107,145084,1.596,1.2,6868,0.587,195755,1.0581095,0.0119674,-1.456,-1.456,1.4276607,0.0039917,-6.925,-6.925,0.0111656,-1.303,0.0019913,-6.93
34,37068,SS_80,H,7,0.442,CO2,4,1,525.4,40.5,,,,,,,,,,,,,,,1.6,5340,99073,99.073,1.5,5657,104983,1.155,3.5,7676,0.427,142429,1.0596528,0.0119849,0,0,1.4376163,0.0040196,0,0,0.0111802,0,0.0020052,0
35,37069,SS_81,H,8,0.5,N2,1,1,47.4,27.2,12.4,3810,70289,70.289,8.4,2508,46299,0.509,0.6586888,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
35,37069,SS_81,H,8,0.5,N2,2,0,216.3,92.4,12.8,1216,32130,32.13,8.5,813,21464,0.236,0.6680337,0.0074608,14.187,14.187,0.0037304,14.187,,,,,,,,,,,,,,,,,,,,,,,,
35,37069,SS_81,H,8,0.5,CO2,3,0,374.3,112.4,,,,,,,,,,,,,,,0.1,5253,149638,149.638,-0.1,5579,158515,1.744,1.3,7491,0.641,213623,1.059322,0.0119816,-0.271,-0.271,1.4275976,0.0039916,-6.964,-6.964,0.0111798,-0.031,0.0019912,-6.972
35,37069,SS_81,H,8,0.5,CO2,4,1,525.4,41,,,,,,,,,,,,,,,1.8,5337,99042,99.042,1.7,5654,104946,1.154,3.7,7672,0.427,142383,1.0596095,0.0119849,0,0,1.4376095,0.0040196,0,0,0.0111802,0,0.0020052,0
36,37070,SP_82,H,9,0.447,N2,1,1,47.4,27.2,12.4,3810,70289,70.289,8.4,2508,46297,0.509,0.6586618,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
36,37070,SP_82,H,9,0.447,N2,2,0,216.3,91.1,12.8,1076,28307,28.307,8.5,719,18899,0.208,0.6676291,0.0074566,13.614,13.614,0.0037283,13.614,,,,,,,,,,,,,,,,,,,,,,,,
36,37070,SP_82,H,9,0.447,CO2,3,0,374.7,111.4,,,,,,,,,,,,,,,0.1,4603,130412,130.412,-0.1,4882,137997,1.518,1.2,6569,0.559,186307,1.0581618,0.0119685,-1.366,-1.366,1.428603,0.0039944,-6.249,-6.249,0.0111664,-1.232,0.0019927,-6.253
36,37070,SP_82,H,9,0.447,CO2,4,1,525.4,40.8,,,,,,,,,,,,,,,1.6,5337,99035,99.035,1.5,5653,104938,1.154,3.4,7671,0.427,142372,1.0596094,0.0119849,0,0,1.437587,0.0040196,0,0,0.0111802,0,0.0020052,0
